Author,date,title,chaps_contrib,name_proceed,vol_no,name_of_publisher,coverage,issn_isbn,inv_contrib,prof_inv_file,proof
Dr. Kamakhya Prasad Ghatak,2017,"Quantum Effects, Heavy Doping, and the Effective Mass, Series of the Foundation of Natural Science and Technology-Vol. 8",NA,NA,"Vol. 8, Page-1-756",World Scientific,International,"ISBN- 9789813146518, 9813146516",No,NA,https://drive.google.com/drive/folders/1njMO8uh4b-voparLcXoP5iySRfbAaUHr?usp=sharing
Dr. Kamakhya Prasad Ghatak,2017,A Special Issue on Physical Properties of Low Dimensional Heavily Doped Materials,Materials Focus,NA,"Vol:6, Issue:2, Page-114-115",ESCI,International,2169-429X,No,NA,https://drive.google.com/file/d/1JG3Dc3mcUXhLeZrMOGpYYMrvmINh0i9e/view?usp=sharing
Amartya Mukherjee,2018,Dynamic analysis of Two-link Robot Manipulator for Control Design,Lecture Notes in Electrical Engineering,"Advances in Communication, Devices and Networking conference",462(pp 767-775),Springer Nature Singapore Pte Ltd,National,"Print ISBN:978-981-10-7900-9, Online ISBN: 978-981-10-7901-6",No,NA,https://drive.google.com/file/d/1MBkjETTALlS-9qwPrfpSRt0GbvpWZVKD/view?usp=sharing 
Amartya Mukherjee,2018,(Book Chapter: Advances in Intelligent Systems and Computing Book Series),Flying Ad hoc Networks: A Comprehensive Survey,FICTA 2017: Conference,701(pp 569-580),Springer,National,ISBN : 978-981-10-7562-9,No,NA,https://drive.google.com/file/d/1SGlEnDKCGVQynKrgnt6KrOuReg48QcDh/view?usp=sharing
Amartya Mukherjee,2018,Embedded Systems and Robotics with Opensource tools-Special Indian Edition,NA,NA,Vol 2,CRC Press/ T&F Group,National,Print ISBN: 978-138-61568-7,No,NA,https://books.google.co.in/books?id=9g7YCwAAQBAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Dr. Koyel Ganguly,2018,Proceedings of Spectrum 2018-International Conference on ‘Emerging Trends in Science and Technology’,Mystery of the Universe,NA,Page 4.1-4.5,Narosa Publishing House,National,ISBN no.: 978-81-8487-642-0.,No,NA,https://drive.google.com/file/d/1_VvP1PKpWbj7mlX71pRMssI2tJVQkt0y/view?usp=sharing
Dr. Koyel Ganguly,2018,Proceedings of Spectrum 2018-International Conference on ‘Emerging Trends in Science and Technology’,‘A Review on Gravitational Waves’,NA,Page 4.1-4.5,Narosa Publishing House,National,ISBN no.: 978-81-8487-642-0.,No,NA,https://drive.google.com/file/d/1DXv7pBV11EC32nILNvjvAn_Pc8mEIbEX/view?usp=sharing
Dr. Koyel Ganguly,2018,Proceedings of Spectrum 2018-International Conference on ‘Emerging Trends in Science and Technology’,Gravitational Collapse: An Overview,NA,Page 5.1-5.4,Narosa Publishing House,National,ISBN no.: 978-81-8487-642-0.,No,NA,https://drive.google.com/file/d/1DfB5WpcCI1Ak3OZyCxAw_PNtMP0J-hWX/view?usp=sharing
Dr. Kamakhya Prasad Ghatak,2018,A special Issue on screening length in nano materials,Materials Focus,NA,"Volume- 7, Page- 361–362","International, Materials Focus",International,2169-429X,No,NA,https://drive.google.com/file/d/11CQRLF-2dzoSs-xFMhZkrmHWD6eucyGT/view?usp=sharing
Dr. Phanibhusan Ghosh,2018,Emerging Technologies in Data Mining and Information Security,"Thunderstorm characteristics over the North Eastern Region (NER) of India during the Pre-Monsoon season, 2011 using Geosynchronous Satellite Data.",Emerging Technologies in Data Mining and Information Security,Vol. 2; Page- 289-299,"Springer nature, Singapur, Pvt Ltd",,"Print ISBN: 978-981-10-7900-9, Online ISBN: 978-981-10-7901-6",No,NA,https://drive.google.com/file/d/17s4vGy-tQfW1cO4csnDchEW41nQDNpT6/view?usp=sharing
