Author,collab_agency,date,duration,coverage,activity,proof
Dr. Koyel Ganguly,American Institute of Physics – Society of Physics Student (SPS) Chapter.,2018,Running,International,Faculty Advisor,https://drive.google.com/file/d/1SoSVuy4zwptfLEzXWISplQma7Wk8j9ID/view?usp=sharing
Arnab Basu,American Institute of Physics – Society of Physics Student (SPS) Chapter.,2018,Running,International,Faculty Co-Advisor,https://drive.google.com/file/d/1SoSVuy4zwptfLEzXWISplQma7Wk8j9ID/view?usp=sharing
Dr. Samapika Das Biswas,English Language Teachers' Association of India - ELT@I Kolkata Chapter,2018,Running,National,President,https://drive.google.com/file/d/1fD88TtzF5ZtaAt2-FFMQAYq2sDXHoXgk/view?usp=sharing
Mousumi Paul,English Language Teachers' Association of India - ELT@I Kolkata Chapter,2018,Running,National,Vice President,https://drive.google.com/file/d/1zvWp2PrgEmhiCOWkoNvsM1iP5Svcfb2Q/view?usp=sharing
Riya Barui,English Language Teachers' Association of India - ELT@I Kolkata Chapter,2018,Running,National,Vice President,https://drive.google.com/file/d/1zvWp2PrgEmhiCOWkoNvsM1iP5Svcfb2Q/view?usp=sharing
Arun Kumar Chatterjee,English Language Teachers' Association of India - ELT@I Kolkata Chapter,2018,Running,National,Member,https://drive.google.com/file/d/1zvWp2PrgEmhiCOWkoNvsM1iP5Svcfb2Q/view?usp=sharing
Riya Barui,"IEM Toast Masters Club
Club - 7186162",2018,Present,International,Vice President – Membership,https://drive.google.com/file/d/1EEnnXmPjABfyTaXA8M9c-tQBu2mJuMYm/view?usp=sharing
Mousumi Paul,"IEM Toast Masters Club
Club - 7186162",2018,Present,International,Chartered Member,https://drive.google.com/file/d/1EEnnXmPjABfyTaXA8M9c-tQBu2mJuMYm/view?usp=sharing
Dr. Samapika Das Biswas,"IEM Toast Masters Club
Club - 7186162",2018,Running,International,Treasurer,https://drive.google.com/file/d/1EEnnXmPjABfyTaXA8M9c-tQBu2mJuMYm/view?usp=sharing
Dr. Kakoli Dutta,"Konan University, Japan",2019,1 month,International,Visiting Researcher,https://drive.google.com/file/d/1004IeEnXPtAPd4ObmWqQvqsmT22_KIuB/view?usp=sharing
Dr. Samapika Das Biswas,Lion's Club,2021,1 year,International,President,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Mousumi Paul,Lion's Club,2021,1 year,International,Treasurer,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Riya Barui,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Dr. Kakoli Dutta,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Biswadip Basu Mallik,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Santanu Das,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Abhishikta Bhattacharjee,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Prabir Kumar Das,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Dr. Koyel Ganguly,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Dr. Kamakhya Prasad Ghatak,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Amartya Mukherjee,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Ruchira Mukherjee,Lion's Club,2019,Running,International,Member,https://drive.google.com/file/d/1TshfJ91eWBzyohLh1lxfsR-FeCVVESGv/view?usp=sharing
Soumen Nandi,"Prof. Sagnik Sen, IIT Dharwad, Karnataka (SGNF Grant)",2020,7 days,National,"Research collaboration with our PhD student Taruni S, and Prof Sagnik Sen",https://drive.google.com/file/d/15HvDfRDfld-XufleV1Ue8FXbSF5sQtFb/view?usp=sharing
Soumen Nandi,"AGRAHO-HOSIGRA Research Meet
Funded by Indian Statistical Institute, Kolkata & Ramakrishna Mission Vivekananda Educational and Research Institute, Belur.",2020,1 week,International,"collaborative research by exchange thoughts among the researchers of India, France",https://drive.google.com/file/d/1kOBrVwfJVuA7iaL4MIDQGH6Xs_bbdL5_/view?usp=sharing
Soumen Nandi,"Prof. Sagnik Sen, IIT Dharwad, Karnataka (SGNF Grant)",2021,15 days,National,"Research collaboration with our PhD student Taruni S, Dipayan Chakraborty, and Prof. Sagnik Sen",https://drive.google.com/file/d/1NQJrOKvBrbywCyYTmzJ6B2Piq-WpJ5cb/view?usp=sharing
Dr. Ranabir Banik,"Dr. Kim Yung Hee, Scientist, Institut Laue-Langevin (ILL) - 71 avenue des Martyrs
CS 20156, 38042 GRENOBLE Cedex 9 - France",2021,14 days,International,"Collaboration in avanced experipent at Grand Accélérateur National d'Ions Lourds (GANIL), Caen, France",https://drive.google.com/file/d/1PWmBHXmLF3dTlOn_T6F0Rb_Gyx_pe3Zy/view?usp=sharing
Biswadip Basu Mallik,"Prof. Dr. Daniele Ritelli, Professor of Mathematical Analysis, Department of Statistical Sciences, University of Bologna, Bologna, Italy",2019,Lifelong,International,"Editor in Chief of JMSCM Journal, Published from SMART Society, USA",https://drive.google.com/drive/folders/1XDh7wWmwr7zXUcHj-EWtOxNNryuNN9Pt?usp=sharing
