Author,"Date of event        (Format : dd-mm-yyyy)
FROM                      ","Date of event        (Format : dd-mm-yyyy)
TO                   ",Title of the event ,Details of the Speakers with affiliation ,Type,National/International,Role/ designation of the faculty in the event ,Number of participants ,Proof link 
"Kakoli Datta, Tina De, Ruchira Mukherjee, Prabir Kumar Das, Dibakar Roy Choudhury, Pratap Mukherjee","18th Dec, 2020","20th Dec, 2020",ICCAES (International Conference on Chemical and Envirinmental Sciences),"Dr. Neil Robertson, Professor,  School of Chemistry, University of Edinburg, United Kingdom
Dr. Nicolai Lehnert, Professor of Chemistry, University of Michigan, USA
Dr. Daisuke Miyoshi, Professor, Frontiers of Innovative Research in Science and Technology (FIRST), Konnan University, Japan
Dr. Dipankar Das Sarma, Professor, Solid State and Structural Chemistry Unit, IISc, Bengaluru, India
Dr. Arnab Halder, Associate Professor & Head, Department of Chemistry, Presidency University, India
Dr. Kayarat Saikrishnan, Professor,  Department of Biology, IISER, Pune
Dr. Feng Zhang, Research Associate, Kobe University, Japan
",Conference,International,joint convenor,300,https://drive.google.com/file/d/1G98hqJfZnkU1mpgTDLL1ahDJVJ1YjxUm/view?usp=sharing
"Samapika Das Biswas, Mousumi Paul, Tiyasha Sengupta, Riya Barui, Abhishikta Bhattacharjee","8th December, 2020","12th December, 2020","International Conference on English Learning and Teaching Skills, ICELTS 2020",,Conference,International,,,https://drive.google.com/file/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/view?usp=drivesdk
"Tina De, Aranab Basu, Dibakar Roy Choudhury","9th October, 2020","11th October, 2020",SPECTRUM 2020,"Wim Vanhaverbeke,  Professor, Department of Digital Economy, Entrepreneurship and Innovation, Surrey Business School, United Kingdom

Valentina Emilia Balas,  Professor, Automation and Applied Informatics, University of Arad, Romania

Thomas J. Webster, Professor,  Department  of  Chemical Engineering, College of Engineering, Northeastern University, Boston, United States.

Prof. Ronnie Figueiredo, Academic Innovation Scientist, Universidade Europeia 

Albert Nasibulin, Professor, Centre for Photonic and Quantum Materials, Skolkovo Institute of Science and Technology, Russia

Vivek Polshettiwar, Associate Professor, Division of Chemical Sciences, Tata Institute of Fundamental Research

Joaquim Jorge,  Professor, Department of Computer Graphics and Multimedia, School of Engineering, University of Lisbon, Portugal

",Conference,International,Convenor,175,https://drive.google.com/file/d/1_83hHNrJ9pbGhtIszAGXJuztItYQJbRs/view?usp=sharing
"Soumen Nandi, Biswadip Basu Mallik, Krishanu Deyasi, Santanu Das, Ayan Panja",07-Feb-20,09-Feb-20,International Conference on Emerging Trends in Mathematical Sciences & Computing (IEMSC-20),"Krishnendu Mukhopadhayay, ACM Unit, Indian Statistical Institute, Kolkata
Éric Sopena, University of Bordeaux, France
Florent Foucaud, University of Bordeaux, France
Tanmay Basu, Instiute of Cancer and Genomic Sciences, University of Birmingham, UK Shamik Ghosh, Jadavpur University, India
Reza Naserasr, CR1, IRIF, Paris-Diderot Michel Habib, IRIF, Paris University, France
Indo-French project under IFCAM (M A/IFCA M /19/87)
Dimitri Lajou, University of Bordeaux, France Atasi Deb Ray, Calutta University, India Sudipta Das, RKMVERI, Belur
Joydeep Mukherjee, RKMVERI, Belur Dibyayan Chakraborty, ISI, Kolkata
Goutam Das, Sr. Consultant of Innolever Solutions Pvt. Ltd.
",Conference,International,"Organisor
(Co ordinator)",150,https://drive.google.com/file/d/1LIXtAyxpD3OZgrtloAPR4kIo9t7l45Lo/view?usp=sharing
"Koyel Ganguly, Soumyadipta Paul, Triparna Dutta, Arnab Basu, Abhijit Kargupta, Amit Nandi","14th Nov, 2019","16th Nov, 2019",IEMPHYS 2019,"Dr. Steven M. Grivin Yale University, Kalobaran Maity TIFR, S M Yusuf BARC, Prasenjit Sen HRI",Conference,International,"Organisor
(Co ordinator)",529,https://drive.google.com/file/d/1Y9515wxpk9HpmqU3emPjzosOZS116S_o/view?usp=sharing
"Kakoli Datta, Tina De","19th Sep, 2019","21st Sep, 2019",ICCAES (International Conference on Chemical and Envirinmental Sciences),"Plenary Talk given by Prof. Keisuke Tominaga, Kobe University, Japan, Prof. Fulvia Chiampo-- Politecnico di Torino, Italy, Prof. Vinod Kr Tiwary, BHU, Dilip Kumar Maity, Department of Chemistry, Calcutta University, Prof. Arnab Mukherjee, IISER Pune, Prof. Jhimli Bhattacharyya, NIT Dimapur , Dr. Vijay Subhas Yeul, Chandrapur Thermal power station A significant reduction of water foot print in Chandrapur Super Thermal Power Station, Sen, Prof. Ramkrishna IITKharagpur ",Conference,International,Convenor,580,https://drive.google.com/file/d/1EjV-X7kOuDiaqnEEfWxk9lqVsA93LNkG/view?usp=sharing
"Samapika Das Biswas, Mousumi Paul,Mayurakshi Dev Riya Barui, Abhishikta Bhattacharjee",25th July 2019,"27th July, 2019",ICELTS (International Conference on English Learning and Teaching Skills),,Conference,International,Convenor,320,https://drive.google.com/file/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/view?usp=drivesdk
"Dr.Koyel Ganguly, Arnab Basu, Soumyadipta Pal","7th March,2019","9th March,2019",Spectrum 2019- 2nd International Students Conference on Innovations in Science an Technology,"1. Dr. Indrani Bose
Emeritus Scientist, Department of
Physics, Bose Institute, Kolkata

2. Sudhir Mallick
Director, INNOLEVER Solution Pvt.Ltd

3. Dr. Montserrat Rivas Ardisana
Professor, Department of Physics,
University of Oviedo

4. Dr. Rajesh Kumble Nayak
Associate Professor, Physical Sciences,
IISER, Kolkata

5. Dr. Atul Gurtu
Emeritus Professor, Kyung Hee
University, South Korea &amp; Adjunct, Delhi
University , (Formerly) Senior Professor,
TIFR, Mumbai

6. Dr. Xing Liu
Department of Computer Science &amp;
Information Technology, Kwantlen
Polytechnic University, Canada

7. Dr. Partha Majumdar
Professor (retired),Department of Physics
 Ramakrishna Mission Vivekananda
University Belur Math
&
Sekhar Banerjee
(Solar Electronics Specialist)

8. Dr. Saket Saurabh
Professor, Theoretical Computer Science
Institute of Mathematical Sciences,
Chennai

9. Dr.Ahmed Abdelgawad
Associate Professor, Department Computer
Engineering, College of Science and
Engineering Central Michigan University

10. Dr. Houssain Kettani
Professor, Computer Science ,The
Beacom College of Computer and Cyber
Sciences Dakota State University",Conference,International,"Convenor. Chief Coordinator, Chief Coordinator",256,https://drive.google.com/file/d/1ByoyuemGXmgfvIx8zpVqbVJ6FmqHXUnH/view?usp=sharing
"Dr.Koyel Ganguly, Arnab Basu, Soumyadipta Pal","17th February,2018","17th February,2018",Spectrum 2018 -International Students' Conference on Emerging Trends in Science and Technology,"Lokesh Tribedi, TIFR

",Conference,International,"Convener, Coordinator, Coordinator",218,https://drive.google.com/file/d/1zesUdMdYkmEguCO8ODr6wJErsSSqZBa_/view?usp=sharing
Biswadip Basu Mallik,17-02-2018,17-02-2018,International Students Conference on Emerging trends in Science and Technology,"Institute of Engineering & Management, Kolkata",Conference,International,Organizer,300,https://drive.google.com/file/d/1tpgTXzjOQ-N9ZErmDtHgyavttIctus6q/view?usp=sharing
