Author,date,title,conf_name,coverage,impact_factor,vol_no,issn_isbn,indexing,inv_paper,prof_inv_file,studs_involved,proof
Dr. Phanibhusan Ghosh,2017,"Analyzing Land Surface Temperature distribution from land use land cover changes in sundarbans, India,","Conference: 37th Asian Conference of Remote Sensing, New Delhi",International,0.843,1 pg: 483-491,ISBN: 978-1-5108-5684-4,NA,NO,Nil,2,https://drive.google.com/file/d/1FIrZrKS22l2XcgrwnkSWMQ3O531gtjz0/view?usp=sharing
Triparna Datta,2017,Computational Analysis of Carrier Mass Under Energetic Photons in Accumulation Layers of MOSFET Devices,OPTRONIX 2016,International,NA,"Vol. 194, Page 513-515",978-981-10-3907-2,Springer confernce Proceedings,NO,NA,0,https://drive.google.com/file/d/1jmILXrH-ZaR-Vmlp-pXo8tQr-xIcfbh4/view?usp=sharingg
Dr. Tina De,2017,"Synthesis, Characterization and Sorptive Removal of Heavy metals on Nano-Structured Agglomerates of Iron (III)-Cerium (IV) Bimetal Mixed Oxide (NICMO): Search For An Efficient, Low Cost Decontamination Technique",7th IconSWM 2017,International,NA,"Volume- 2, Issue- 4",ISSN: 2100-5212 (Print) ISSN: 3245-2336 (Online),Springer confernce Proceedings,NO,NA,0,https://drive.google.com/file/d/1eGMlDwAfn9M5NqwCj9NGUAWsdhlUCq4V/view?usp=sharing
Dr. Tina De,2017,"Synthesis, Characterization of Nano-Structured Bimetal Mixed Oxides: Comparative Study of Their Removal Performance on A Lab-Bench Scale",Biospectrum 2017,International,NA,"Volume- 1, Issue- 3",ISSN: 2549-6782 (Print) ISSN: 2348-4326 (Online),Springer confernce Proceedings,NO,NA,0,https://drive.google.com/file/d/1DIhqBCd8zomeHqhxR2vyXsuoI-NNI942/view?usp=sharing
Dr. Tina De,2017,Polymeric Nanofilm for the Detection of Fluoride contaminated groundwater,Biospectrum 2017,International,NA,"Volume- 1, Issue- 3",ISSN: 2549-6782 (Print) ISSN: 2348-4326 (Online),Springer confernce Proceedings,NO,NA,0,https://drive.google.com/file/d/12H24mrBQpL1dXwMCc9O2GMyR5rHlQjvH/view?usp=sharing
Dr. Kakoli Dutta,2017,Detection of Synthetic Food Dyes Using Electrochemically Reduced Graphene Oxide: A Voltammetric Sensor,"MC13, Liverpool UK",International,NA,NA,NA,NA,NO,NA,0,https://drive.google.com/file/d/1iPMDe4H22iwuheD8qBsLy5_sNssVFH9t/view?usp=sharing
Dr. Phanibhusan Ghosh,2018,"Time series analysis of shoreline oscillations and its repercussions on the mangroves ecosystems around Bakkhali island of Sundarban delta, Eastern India,","International conferenceBiodiverse 2018, IIT Guwahati, Indian Institute of Technology",International,NA,Page- 97,NA,NA,NO,Nil,2,https://drive.google.com/file/d/1wIBpb_Kk4f6QTBOnq_MgcoqHPUBcSRuP/view?usp=sharing
Dr. Phanibhusan Ghosh,2018,Morphodynamic Study of Ichamati River Basin Using Geospatial Techniques and its impact on the local environment,Spectrum 2018- International Conference on ‘Emerging Trends in Science and Technology,International,NA,Chapter: 36; Page- 3-9,Print ISBN:978-81-8487-642-0,NA,NO,Nil,2,https://drive.google.com/file/d/1gRKVBNKZ7OGiKRcvKOWy2ZyNM3sibaZI/view?usp=sharing
Dr. Koyel Ganguly,2018,Mystery of the Universe,Spectrum 2018 - International Conference on Emerging Trends in Science and Technology,International,NA,Page 4.1-4.5,978-81-8487-642-0 (2018),NA,NO,NA,0,https://drive.google.com/file/d/1_VvP1PKpWbj7mlX71pRMssI2tJVQkt0y/view?usp=sharing
Dr. Koyel Ganguly,2018,Gravitational collapse:An overview,Spectrum 2018 - International Conference on Emerging Trends in Science and Technology,International,NA,Page 5.1-5.4,978-81-8487-642-0 (2018),NA,NO,NA,0,https://drive.google.com/file/d/1DfB5WpcCI1Ak3OZyCxAw_PNtMP0J-hWX/view?usp=sharing
Dr. Koyel Ganguly,2018,A review on Gravitational Waves,Spectrum 2018 - International Conference on Emerging Trends in Science and Technology,International,NA,Page 6.1-6.5,978-81-8487-642-0 (2018),NA,NO,NA,0,https://drive.google.com/file/d/1DXv7pBV11EC32nILNvjvAn_Pc8mEIbEX/view?usp=sharing
Dr. Kakoli Dutta,2018,Salt water Powered Boat,Spectrum 2018- International Conference on ‘Emerging Trends in Science and Technology’,International,NA,NA,978-81-8487-642-0 (2018),NA,NO,NA,2,https://drive.google.com/file/d/1_Sfv_XC3pa_9eMMqr5j_MdWpm65sQg42/view?usp=sharing
Biswadip Basu Mallik,2018,Marketing Automation through Machine learning algorithm,Spectrum 2018- International Students Conference on Emerging Trends in Science & Technology,International,NA,Page 27.1-27.9,978-81-8487-642-0,NA,NO,NA,3,https://drive.google.com/drive/folders/1n8gLFnjaq28GOlhBZYU7VAw1LHQBI2w0?usp=sharing
Dr. Samapika Das Biswas,2018,Speech Anxiety: Improper communication & fear of public speaking,International Conference On English Learning and Teaching Skills,International,NA,"Vol. 1, Issue 4, Page 352-357",ISSN: – Online: 2638 – 5546 ISSN: – Print Version: 2639 – 7412,NA,NO,NA,2,https://doi.org/10.15864/ijelts.1413
Dr. Soumyadipta Pal,2018,Study Of Optical Properties Of Dielectric-Dielectric Interface,Spectrum 2018- International Students Conference on Emerging Trends in Science & Technology,National,NA,Page 2.1-2.6,978-81-8487-642-0,National Publisher,NO,NA,1,https://drive.google.com/file/d/1uoI5PnQBo_JDmlPirQpl7q1PdhK8ihDG/view?usp=sharing
