Distinguished Lecture Organized,,,,,,,,,,,,,,,,,,,,,,,
Date of Entry,"Date of event (Format : dd-mm-yyyy)
 FROM","Date of event (Format : dd-mm-yyyy)
 TO",Details of the Speakers with affiliation,Type,National/International,Role/ designation of the faculty in the event,Number of participants,Proof link,,,,,,,,,,,,,,,
06-06-2021,"8th January, 2018","8th January, 2018","Mr. Deepak Khaitan, Former Chairman",Distinguished Lecture,National,ICSI-EIRC,79,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"2nd August, 2018","2nd August, 2018","Ms. Nilanjana Mukherjee,CWC member",Distinguished Lecture,National,ISHRAE Kolkata,355,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"16th August,
 2018","16th August,
 2018","Mr. Debiprasad Duari, Director",Distinguished Lecture,National,Birla Planetarium,215,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"7th September,2018","7th September,2018","Dr. Saikat Maitra,Honorable Vice Chancellor",Distinguished Lecture,National,MAKAUT,195,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"8thSeptember,2018","8thSeptember,2018",.Prof. ArnabHalder,Distinguished Lecture,National,Presidency University,157,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"8thSeptember,2018","8thSeptember,2018",Mr. Swarup Dutta,Distinguished Lecture,National,"Sr. Scientist, Chembiotech",136,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"28th September,2018","28th September,2018",Prof. Narayan Banerjee,Distinguished Lecture,National,"IISER, Kolkata",247,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"29th September,2018","29th September,2018",Prof. Debatosh Guha,Distinguished Lecture,National,University of Calcutta,148,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"29th September,2018","29th September,2018",Prof. Priya Mahadevan,Distinguished Lecture,National,S.N.Bose Centre for National Sciences,168,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"31st August,2018","31st August,2018",Dr. Sampa Chatterjee,Distinguished Lecture,National,"Institute of English Calcutta,
 teacher trainer and Consultant in ELT",316,https://docs.google.com/document/d/102UsaQJRVc0N9UfxW9xuKM8zbRmMrrqN6ay24hM8xDM/edit?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"31st January,2019","31st January,2019",Ms. Manisha Biswas,Distinguished Lecture,National,"Senior Member Intel, Google Developers Group",210,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"7th March,2019","7th March,2019",Dr. Indrani Bose,Distinguished Lecture,National,"Emeritus Scientist, Department of Physics, Bose Institute, Kolkata",326,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"7th March,2019","7th March,2019",Sudhir Mallick,Distinguished Lecture,National,"Director, INNOLEVER Solution Pvt.Ltd. Former principal consultant of TCS",355,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"8th March,2019","8th March,2019",Dr. Rajesh Kumble Nayak,Distinguished Lecture,National,"Associate Professor, Physical Sciences, IISER, Kolkata",336,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"9th March,2019","9th March,2019",Dr. Saket Saurabh,Distinguished Lecture,National,"Professor, Theoretical Computer Science Institute of Mathematical Sciences, Chennai",96,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"7th March,2019","7th March,2019",Prof.Sujoy Kumar Dasgupta,Distinguished Lecture,National,"Director, Bose Institute",88,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"8th March,2019","8th March,2019",Prof. S M Ali,Distinguished Lecture,National,Director (Membership) The Institution of Engineers (India,369,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"25th July, 2019","25th July, 2019",Dr. Saikat Maitra,Distinguished Lecture,National,"Honourable Vice Chancellor, MAKAUT",75,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
